UID,Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval, ITL 
1,I need a loan to pay for an international vacation with my family.,"? 26,556.00",581,8314,79.26,employed,Rejected, 0.31 
2,I want to make home improvements like installing solar panels.,"? 197,392.00",389,111604,22.14,employed,Rejected, 0.57 
3,"I need a loan for home renovation, including a kitchen remodel.","? 44,561.00",523,34118,45.44,employed,Rejected, 0.77 
4,I need funds to buy new furniture and appliances for my house.,"? 190,363.00",729,118757,10.22,unemployed,Rejected, 0.62 
5,I need a loan to start a small business.,"? 61,853.00",732,19210,44.13,employed,Approved, 0.31 
6,I need a loan to repair my car after an accident.,"? 108,236.00",404,50797,10.24,employed,Rejected, 0.47 
7,I need financial help to cover maternity and delivery expenses.,"? 110,165.00",570,61217,7.12,employed,Approved, 0.56 
8,I need money to open a small bookstore and café.,"? 40,656.00",600,21267,113.63,unemployed,Rejected, 0.52 
9,I need a loan to install a security system at home.,"? 38,233.00",346,8467,126.42,unemployed,Rejected, 0.22 
10,I need a loan to cover emergency expenses after a natural disaster.,"? 81,024.00",403,19217,36.92,unemployed,Rejected, 0.24 
11,I need a loan to pay for a much-needed vacation after years of saving.,"? 62,638.00",679,14730,45.15,unemployed,Rejected, 0.24 
12,I need money to purchase updated equipment for my photography business.,"? 179,680.00",475,65175,22.26,employed,Rejected, 0.36 
13,I want to start a small roadside food stall and need funds for equipment.,"? 119,471.00",576,91198,39.29,employed,Rejected, 0.76 
14,I want to pay off my payday loans and switch to a lower-interest option.,"? 34,663.00",534,27379,20.49,unemployed,Rejected, 0.79 
15,I need a loan to pay for legal fees related to my business license.,"? 90,186.00",367,42245,20.87,employed,Rejected, 0.47 
16,I need financial support to pay for my son's football training program.,"? 123,712.00",769,35718,11.61,employed,Approved, 0.29 
17,I need money to pay for a vocational training course in plumbing.,"? 167,159.00",569,113311,25.91,unemployed,Rejected, 0.68 
18,I need a loan to pay for a much-needed vacation after years of saving.,"? 77,493.00",441,33343,49.54,employed,Rejected, 0.43 
19,"I need financial help to cover wedding expenses, including the venue and catering.","? 48,743.00",456,11484,94.62,unemployed,Rejected, 0.24 
20,I want to expand my small online clothing store.,"? 120,864.00",690,62348,36.45,unemployed,Rejected, 0.52 
21,I want to consolidate my credit card debts into one manageable payment.,"? 198,332.00",417,141763,25.05,unemployed,Rejected, 0.71 
22,I need a loan to support my side business selling handmade candles.,"? 49,242.00",600,11365,68.02,unemployed,Rejected, 0.23 
23,I need a loan to start a small business.,"? 89,045.00",812,67542,18.76,employed,Rejected, 0.76 
24,I need money to purchase a food truck and start my own business.,"? 187,496.00",819,53143,23.95,employed,Approved, 0.28 
25,I need a loan to pay for my son's medical treatment and therapy.,"? 62,349.00",843,40252,8.08,unemployed,Rejected, 0.65 
26,I need a loan to buy a truck and start a moving business.,"? 25,105.00",414,11076,114.67,employed,Rejected, 0.44 
27,I need a loan to relocate to a new city after getting a job offer.,"? 83,143.00",380,48966,12.76,unemployed,Rejected, 0.59 
28,I want to expand my small online clothing store.,"? 159,645.00",428,87474,8.4,unemployed,Rejected, 0.55 
29,I need funds to stock inventory for my new retail store.,"? 89,483.00",840,56461,50.01,employed,Rejected, 0.63 
30,I need money to launch my own tech startup focused on AI solutions.,"? 72,730.00",619,45019,42.83,unemployed,Rejected, 0.62 
31,I need a loan to pay for a down payment on my first home.,"? 155,679.00",762,33493,8.31,employed,Approved, 0.22 
32,I want to expand my small online clothing store.,"? 108,627.00",321,73603,40.1,employed,Rejected, 0.68 
33,I need a loan to pay off overdue electricity and water bills.,"? 21,885.00",372,2929,211.83,employed,Rejected, 0.13 
34,I want to expand my small online clothing store.,"? 28,234.00",638,17847,34.15,employed,Rejected, 0.63 
35,I need funds to upgrade my computer and buy software for freelance work.,"? 195,368.00",797,142356,9.75,employed,Rejected, 0.73 
36,I need money to purchase specialized tools for my auto repair shop.,"? 83,700.00",784,25957,37.85,employed,Approved, 0.31 
37,I need money to refinance my home loan at a lower interest rate.,"? 192,748.00",741,112038,14.64,unemployed,Rejected, 0.58 
38,I want to start a small roadside food stall and need funds for equipment.,"? 34,200.00",400,14193,26.23,unemployed,Rejected, 0.42 
39,I want to make home improvements like installing solar panels.,"? 85,183.00",496,59800,20.5,employed,Rejected, 0.70 
40,I need funds to expand my home-based bakery to a physical store.,"? 68,100.00",585,17371,51.86,employed,Rejected, 0.26 
41,I need a loan to pay for a down payment on my first home.,"? 164,264.00",400,86477,5.06,employed,Rejected, 0.53 
42,I need funds to enroll in a professional certification program.,"? 81,965.00",470,32826,38.59,unemployed,Rejected, 0.40 
43,I need a loan to repair my car after an accident.,"? 125,130.00",360,50672,12.62,employed,Rejected, 0.40 
44,I need funds to pay for my pilot training program.,"? 89,521.00",765,56444,26.47,unemployed,Rejected, 0.63 
